Title,City,Address
KARWAN BAZAR BRANCH,"House: 8 UTC Building(1st fl), Road: 8,Panthapath, Area: Kawran Bazar, PO: Tejgaon, PS: Tejgaon, Dist: Dhaka - 1215.",City/Town: Dhaka-3
KERANIGONJ SUB BRANCH,"Din Complex, Kadamtoli Goal Chattor, , Daag No-3485 & 3486,Khotian No-470/1,Mouja-Shuvadda,Union-Aganagor,Thana-South Keranigonj, District -Dhaka",City/Town: Dhaka
KHATUNGONJ BRANCH,"1628/1671, Ramjoy Mohajon Lane (1st Floor), Asadgonj, P.O. Lamarbazar, PS: Kotwali, Dist: Chittagong- 4000",City/Town: Chattogram
KHULNA BRANCH,"House: 7(GR fl), Road: Sir Iqbal Road, Area: Khulna Sadar, PO: GPO, PS: Kotwali, Dist : Khulna - 9100.",City/Town: Khulna
KISHOREGANJ SME/AGRI BRANCH,"239, Alhaz Mahtab Uddin Super Market (1st Floor), Boro Bazar, Kishoreganj",City/Town: Sylhet
KULAURA BRANCH,"Kulaura Branch, Nazma Gani Market (1st Floor), Holding No :  220, Ward No : 5, Puroshova :  Kulaura, Upazila : Kulaura, District : Moulvibazar",City/Town: Sylhet
KUSHTIA BRANCH,"House: 114 Kadari Super Market ( fl), Road: R.A. Khan Chow Sarak, Area: Sapla Chattar, PO: Kushtia, PS: Kushtia, Dist: Kushtia - 7000.",City/Town: Khulna
LAXMIPUR BRANCH,"House : Kundo Tower (1st Floor)
Road   : Chak Mosjid Road
 PO: Lakshmipur Sadar    PS : LakshmipurDist : Lakshmipur
 Post Code : 3700",City/Town: Cumilla
LOHAGARA AGRI BRANCH,"House: Mostafa City (1st fl), Area: Amirabad, Lohagara, PO: Lohagara, PS: Lohagara, Dist: Chittagong - 4396.",City/Town: Chattogram
MADANI AVENUE SUB BRANCH,"Hamid Plaza, Holding Number-19, Blook-A,Ward No-39,Dhaka North City Corporation, Thana- Vatara ,District -Dhaka
PS: Khilkhet, Dist: Dhaka - 1229.",City/Town: Dhaka
MADHOBDI BRANCH,"House: 4(1st & 2nd fl), Road: Bank Road, Area: Madhabdi Bazar, PO: Madhabdi, PS: Narsingdhi, Dist: Narsingdhi - 1604.",City/Town: Sylhet
MAIJDI AGRI BRANCH,"Nasir Brothers Bhabon(1st Floor) , Holding No: 1458 ,Main Road , Ward No:04,Thana: Maijdee Court, District: Noakhali",City/Town: Noakhali
MANIKGONJ BRANCH,"House: 173/174(1st & 2nd fl), Road: Shaheed Rafique Sarak, Area: Manikgonj Bazar, P.O: Manikgonj, P.S: Manikgonj, Dist: Manikgonj - 1800.",City/Town: Dhaka-3
MIRPUR BRANCH,"House: 1(1st fl), Road: Dar-us-Salam Road, S: 1, Area: Mirpur, PO: Mirpur, PS: Mirpur, Dist: Dhaka - 1216.",City/Town: Dhaka-3
MOGHBAZAR BRANCH,"House: 1 Razzak Plaza(1st fl), Road: New Eskaton Road, Area: Moghbazar, PO: GPO, PS: Ramna, Dist: Dhaka - 1000.",City/Town: Dhaka 2
MONIRAMPUR SUB BRANCH,"Abdul Bari Mansion,Holding Number-132,Ward No-3,Pouroshava- Monirampur ,Thana- Monirampur,District- Jashore.",City/Town: Jashore
MOTIJHEEL BRANCH,"“Motaleb Mansion”, 2 No. R.K. Mission Road, Dhaka",City/Town: Dhaka
MOUCHAK BRANCH,"House: 80/A Shahjalal Tower(1st fl), Road: Siddeswari Circular Road, Area: Malibagh, PO: Shantinagar, PS: Ramna, Dist: Dhaka - 1217.",City/Town: Dhaka 2
MOULVIBAZAR BRANCH,"House: Kusumbagh Shopping City(2nd fl), Road: Sylhet Road, Area: Moulvibazar, PO: Moulvibazar, PS: Moulvibazar, Dist: Moulvibazar - 3200.",City/Town: Sylhet
MUNSHIGONJ SUB BRANCH,"Islampur Bhaban, Holding Number-434, Ward No-2, Pouroshava- Munshiganj ,Thana- Munshiganj Sadar,District- Munshiganj.",City/Town: Munshiganj
MYMENSINGH BRANCH,"House: 20(1st fl), Road: Choto Bazar, Area: Mymensingh, PO: Mymensingh, PS: Kotwali, Dist: Mymensingh - 2200.",City/Town: Dhaka 1
NAOGAON BRANCH,"Amir Uddin Bhaban, Chakdevpara Holding No: 20674, Ward no: 03, P.S: Naogaon, Puroshava:  Naogaon, Dist:  Naogaon.",City/Town: Bogura
NARAIL SUB BRANCH,"Islam Complex, Dag No:45, Khatian No:86, Narail Jessore Road, Ward No:16, Pourashava: Narail,Thana: Narail Sadar, District: Narail",City/Town: Narail
NARAYANGONJ BRANCH,"House: 72 Islam Market(1st fl), Road: BB Road, Area: Narayangonj, PO: Narayangonj, PS: Narayangonj, Dist: Narayangonj - 1400.",City/Town: Cumilla
NARSINGDI BRANCH,"House: 192 Bazar(1st fl), Area: Narsingdi, PO: Narsingdi, PS: Narsingdi, Dist: Narsingdi - 1600.",City/Town: Sylhet
NATORE AGRI BRANCH,"House: 240/241, F.K. Zaman Plaza(GR fl), Area: Alaipur Boipotty, PO: Natore, PS: Natore Sadar, Dist: Natore - 6400.",City/Town: Bogura
NAWABGONJ BRANCH,"House: Younus Shoping Complex(1st fl), Area: Nawabgonj Main Road, Area: Nawabgonj Upozilla, : PO:Nawabgonj, PS: Nawabgonj, Dist: Dhaka - 1320.",City/Town: Dhaka-3
NAWABPUR BRANCH,"House: Anowara Bhavan (1st fl), Road: 12-14 Nawabpur Road, PO: Nawabpur, PS: Wari,  Dist: Dhaka -1100",City/Town: Dhaka 2
NETAIGONJ BRANCH,"House: 217(1st fl), Road: BK Road, Area: Netaigonj, PO: Narayangonj, PS: Narayangonj, Dist: Narayangonj - 1400.",City/Town: Cumilla
NEW MARKET BRANCH,"House: 5 Novera Square( fl), Road: 2, Area: Dhanmondi R/A, PO: Dhanmondi, PS: Dhanmondi, Dist: Dhaka - 1205.",City/Town: Dhaka-3
NIKUNJA BRANCH ,"House: Lotus Kamal Tower-1, 57 Zoar Shahara(GR fl), Road: Airport Road, Area: Nikunja-2, PO: Khilkhet, PS: Khilkhet, Dist: Dhaka - 1229.",City/Town: Dhaka 1
NIKUNJA SUB BRANCH,"DSE Tower, House 46, Level 2,
Road 2, Nikunja 2, PO: Khilkhet,
PS: Khilkhet, Dist: Dhaka - 1229.",City/Town: Dhaka
O.R. NIZAM ROAD BRANCH,"1st Floor, 1 Shahid Abdul Hamid Road
East Nasirabad, 
GEC crossing, Chittagong",City/Town: Chattogram
OXYGEN MOOR BRANCH,"M Rahman Heights (1st Floor) Oxygen Moor, Ward No",City/Town: Chattogram
PABNA BRANCH,"House: 472(1st fl), Road: Aurangzeb Road, Area: Pabna, PO: Pabna, PS: Pabna Sadar, Dist: Pabna - 6600.",City/Town: Bogura
PAGLA BRANCH,"Pagla Branch, Namira Tower (1st floor), Dag no : C.S & S.A - 316 and R.S - 318, Khatian no : C.S ",City/Town: Dhaka 2
PAHARTALI BRANCH,"House:Yakub Tower (1st fl) 940/A (new) & 516/810 (old), Road: D. T. Road, Dilli Lane, P.O: Pahartali, P.S: Double Mooring, Dist: Chittagong - 4202.",City/Town: Chattogram
PALASHBARI SUB BRANCH,"Chowdhury Bhabon,Holding No.1265, Gaibandha Road, Pouroshava- Palashbari, ,Thana- Palashbari,District-Gaibandha",City/Town: Gaibandha
PALLABI BRANCH,"House: 132 Spring Rahmat-E-Tuba Complex(1st fl), Road:2, Block: A, Section:12, PO: Mirpur, P.S: Mirpur, Dhaka- 1216.",City/Town: Dhaka-3
PATHERHAT BRANCH,"House: Hazi Siddique Ahmed (1st fl), Road: Kaptai Road, Area: Noapara,Guzra Union, PO: Guzra Noapara, PS: Raozan, Dist: Chittagong - 4346.",City/Town: Chattogram
PATUAKHALI BRANCH,"Patuakhali Branch, Holding No : 063-01 (1st floor), Old Steamer Ghat Road, Natun Bazar, Ward no : 6, Puroshova :  Patuakhali, Upazila : Patuakhali, District : Patuakhali",City/Town: Khulna
PHULTALA BRANCH,"Phultala Branch, Hazi Marker (1st Floor), Khulna Jessore Main Road, Union : 4 no. Phultala, Upazila : Phultala, District : Khulna",City/Town: Khulna
POSTA BRANCH,"House: 35 Seraj Court(1st & 2nd fl), Road: Shaesta Khan Road, Area: Lalbagh, PO: Posta, PS: Chak Bazar, Dist: Dhaka - 1211.",City/Town: Dhaka-3
PRINCIPAL OFFICE,"House: 10 Jibon Bima Tower(GR fl), Area: Dilkusha Commercial Area, PO: GPO, PS: Motijheel, Dist: Dhaka - 1000.",City/Town: Dhaka 2
PROBARTAK BRANCH,"House: 1486/1672 Al-Nur Badrun Center(1st fl), Road: O.R Nizam Road, Area: Probartak Moor, PO: Ctg Medical, PS: Panchlaish, Dist: Chittagong - 4203.",City/Town: Chattogram
PROGATI SARANI BRANCH,"The Pearl Trade Center (Ground Floor), Cha-90/3, Progati Sarani, Shahjadpur, Dhaka",City/Town: Dhaka 1
RAIPUR BRANCH,"Holding No. 517, Shahid Plaza, Pir Fozlullah Sarak, Raipur, Laxmipur",City/Town: Cumilla
RAJSHAHI BRANCH,"House: 125 Star Mansion(1st fl), Road: Natore Road, Area: Shaheb Bazar 0 Point, PO: Ghoramara, PS: Boalia, Dist: Rajshahi - 6100.",City/Town: Bogura
RANGPUR BRANCH,"House: 97/1 Central Point(1st fl), Road: Central Road, Area: Rangpur Town, PO: Rangpur Sadar, PS: Kotwali, Dist: Rangpur - 5400.",City/Town: Bogura
REKABI BAZAR BRANCH,"House: Abdul Motalebs House(1st fl), Road: Binodpur High School Road, Area: Ponchasar, PO: Rekabi Bazar, PS: Munshigonj Sadar, Dist: Munshigonj - 1501.",City/Town: Cumilla
ROHANPUR BRANCH,"Holding No: 1125, Godown Road, Ward no: 05, P.S.: Gomostapur, Puroshava: Rohanpur, Dist: Chapainawabganj.",City/Town: Bogura
ROKEYA SARANI BRANCH,"Dinaj Tower (1st floor), Holding No. 752/2, West Shewrapara, Begum Rokeya Sarani, Mirpur, Dhaka.",City/Town: Dhaka-3
SADARGHAT BRANCH,"House: Patuatuly Bhaban(2nd fl), Road: 78 Loyal Street, Patuatuly, Area: Sadarghat, PO: Sadarghat, PS: Kotwali, Dist: Dhaka - 1100.",City/Town: Dhaka 2
SATKANIA BRANCH,"House: 580 Mokbul Seraji Shopping Complex(1st fl), R:Station Road, Area: Satkania, PO: Satkania, PS: Satkania, Dist: Chittagong - 4386.",City/Town: Chattogram
SATKHIRA BRANCH,"House: 400/450 City Market(1st fl), Road: Boro Bazar Road, Area: Satkhira, PO: Satkhira, PS: Satkhira Sadar, Dist: Stakhira - 9400.",City/Town: Khulna
SAVAR AGRI BRANCH,"House: 111/A(1st fl), Road: Savar Bazar Road, Area: Savar, PO: Savar, PS: Savar, Dist: Dhaka - 1340.",City/Town: Dhaka-3
SENBAGH BRANCH,"D.K. Plaza (1st Floor), Holding no : 346, Upozila Road, Senbagh Bazar, Senbagh, Noakhali",City/Town: Cumilla
SHAYMOLI BRANCH,"House: 23/6 Rupayan Shelford(1st fl), Road: Khilji Road, Block: B, Area: Shaymoli, PO: Mohammadpur, PS: Mohammadpur, Dist: Dhaka - 1207.",City/Town: Dhaka-3
SHERPUR BRANCH,"Mahmud Tower, Ground floor, Dhaka Bogura High Way, Pourosova Road,  Sherpur Bus Stand, Sherpur, Bogura",City/Town: Bogura
SHIBPUR BRANCH,"1st Floor ,Holding No: 181,Ward No: 5 ,Shibpur Sadar Road ,Shibpur Bazar Road ,Thana & Pourashava : Shibpur ,Narsingdhi",City/Town: Sylhet
SIRAJGONJ BRANCH,"House: 979(1st fl), Road: SS Road, Area: Sirajgonj, PO: Sirajgonj, PS: Sirajgonj, Dist: Sirajgonj - 6700.",City/Town: Bogura
"SONARGAON JANAPATH, UTTARA BR","House-02, Sector-12, Sonargaon Janapath Road, Uttara Model Town, Union- Harirampur, Uttara, Dhaka",City/Town: Dhaka 1
SREEMONGOL BRANCH,"House: 70 Al-Amin Mansion(1st fl), Road: Moulvi Bazar Road, Area: Sreemongal, PO: Sreemongal, PS: Sreemongal, Dist: Moulvi Bazar - 3210.",City/Town: Sylhet
SUBARNACHAR BRANCH,"Rubina Super  Market (1st Floor), Dag No : MRR : 880, Khatian No: MRR : 248, Char Bata Union Parishad, P.S : Subarna char, Noakhali",City/Town: Cumilla
SYEDPUR BRANCH,"House: 361(GR fl), Road: Shahid Dr. Zikrul Haque Road, Area: Saidpur, PO: Saidpur, PS: Saidpur, Dist: Nilphamari - 5310.",City/Town: Bogura
TANGAIL BRANCH,"House: 1869/77(1st fl), Road: Main Road, PO: Tangail Sadar, PS: tangail Sadar, Dist: Tangail - 1900.",City/Town: Dhaka-3
TONGI BRANCH,"Sena Kalyan Commercial Complex (1st floor)
Holding No- 9/F, Dhaka Mymensing Highway, Ward No:57, Gazipur City Corporation, Thana: Tongi, District:Gazipur-1710",City/Town: Gazipur
URDU ROAD BRANCH,"House: Haji Mansion (2nd Floor), Road: 10 Urdu Road, Area: Dhaka City Corp, PO: Posta, PS: Chawkbazar, Dist: Dhaka - 1211.",City/Town: Dhaka-3
UTTARA BRANCH,"House: 8 Barek Monjil(GR fl), Road: Rabindro Sarani Road, Sector-7, Area: Azampur, P.O: Uttara, P.S: Uttara, Dist: Dhaka - 1230.",City/Town: Dhaka 1
VIP ROAD BRANCH,"Orchad Faruque Tower, 72, Naya Paltan, VIP Road, Dhaka",City/Town: Dhaka 2
ZINDABAZAR BRANCH,"House: Kaniz Plaza(1st fl), Area: Zindabazar, PO: Sylhet, PS: Kotwali, Dist: Sylhet - 3100.",City/Town: Sylhet
ZINZIRA BRANCH,"Amin Complex, 1st Floor, Zinzira Bus Stand Road, Zinzira Bazaar, Dhaka.",City/Town: Dhaka 2
